ID,Japanese,Correct,English,label,grammarly, 
1,僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,I uselly taking walk about 30 min.before breakfast.,0,I usually taking walk for about 30 min. before breakfast., 
1,僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,I make it a rule to take a walk for about half an hour before breakfast.,111,I make it a rule to take a walk for about half an hour before breakfast., 
1,僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,I always take a walk for 30 minutes before breakfast.,111,I always take a walk for 30 minutes before breakfast., 
1,僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,I am always going to take a walk 30minutes before breakfast.,11,I am always going to take a walk 30minutes before breakfast., 
1,僕は朝食前に必ず30分ほど散歩することにしている。,I always go for a walk for about half an hour before breakfast.,I make it a rule to take a walk for half an hour before every breakfast.,101,I make it a rule to take a walk for half an hour before every breakfast., 
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.","I`m thinking about to gone office,no deside yet.",0,"I`m thinking about to gone office, no decision yet.", 
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I'm thinking of quitting the company.",111,"I haven'ts decided yet, but I'm thinking of quitting the company.", 
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I am thinking to quit my job.",11,"I haven't decided yet, but I am thinking to quit my job.", 
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.",I don't dicided yet I am thinking of quit the company. ,0,I don't decide yet I am thinking of quitting the company. , 
2,まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not made up my mind yet, but I’m thinking of leaving the company.","I have not yet decided, but I would like to leave the company.",110,"I have not yet decided, but I would like to leave the company.", 
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.","No staying hollyday,to study coming here.",0,"No staying holiday, to study coming here.", 
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.","I came here to do some reserch, not to spend holiday.",10,"I came here to do some research, not to spend a holiday.", 
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.","I don't spend the holidays, I came here to do some research.",1,"I don't spend the holidays, I came here to do some research.", 
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.","I came here to do some research, not to spend my holidays.",111,"I came here to do some research, not to spend my holidays.", 
3,この地に来たのはある調査をするためで、休日を過ごすためではない。,"I’ve come here to make a survey, not to spend my vacation.","I came here not to live a holiday, the way to a search.",101,"I came here not to live a holiday, the way to a search.", 
4,今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.","I have waitting for him this morning,He doesn`t come.",100,"I have been waiting for him this morning, He doesn`t come.", 
4,今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.","I have been waiting since this morning, but he has not shown up yet.",111,"I have been waiting since this morning, but he has not shown up yet.", 
4,今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.","I have been waiting since this morning, he has not turned up yet.",101,"I have been waiting since this morning, he has not turned up yet.", 
4,今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.",He has not appeared still even though I have waited from this morning.,111,He has not appeared still even though I have waited from this morning., 
4,今朝からずっと待っているのに、彼はまだ現れない。,"I’ve been waiting since this morning, but he still hasn’t come.","Although I wait him morning,he do not appear yet ",1,"Although I waithim morning, he does not appear yet ", 
5,カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,I did't spend money that I thought,101,I didn't spend money that I thought, 
5,カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,Life in Canada was not as expensive as I thoght.,111,Life in Canada was not as expensive as I thought., 
5,カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,Living in Canada didn't cost much than I had expected.,111,Living in Canada didn't cost much than I had expected., 
5,カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,I did not consume the money for Canadian life rather than I predicted before.,1,I did not consume the money for Canadian life rather than I predicted before., 
5,カナダでの生活は、案外お金がかからなかった。,Living in Canada was not as expensive as I thought it would be.,Living in Canada do not cost money than I think.,101,Living in Canada does not cost more money than I think., 
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.",The plane has gone when we arrived at airport.,1,The plane has gone when we arrived at the airport., 
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",111,"When we arrived at the airport, the plane had already taken off.", 
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.","When we arrived the airport, the aiplain have already taken off.",10,"When we arrived at the airport, the airplane have already taken off.", 
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.","When I arrived the airport, the flight had already taken off. ",11,"When I arrived at the airport, the flight had already taken off. ", 
6,私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we got to the airport, the airplane had already left.",The airplane have already departed when we arrived at the airport.,111,The airplane have already departed when we arrived at the airport., 
7,お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.","If I had money, I would stay one more night.",111,"If I had money, I would stay one more night.", 
7,お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.","If I have money, I stay one more night.",11,"If I have money, I stay one more night.", 
7,お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.","If I have money, I would stay one more night.",11,"If I have money, I would stay one more night.", 
7,お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.",If I have money I will stay one more night.,11,If I have money I will stay one more night., 
7,お金があれば、もう一泊するのだが。,"If I had more money, I could stay one more night.",I would like to stay one more night if I have money.,111,I would like to stay one more night if I have money., 
8,昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.","If I was hurr up, I made to ride on the last train last night.",0,"If I was hurred up, I made to ride on the last train last night.", 
8,昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.",I would be on time last night if I go hurrily.,100,I would be on time last night if I go hurriedly., 
8,昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.","Last night, if I had been in a rush, I could have caught the last train",111,"Last night, if I had been in a rush, I could have caught the last train", 
8,昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.","Last night, if I harried up, I were able to take the train.",100,"Last night, if I harried up, I was able to take the train.", 
8,昨夜、急げば終電に間に合っていただろう。,"If I had hurried last night, I could have caught the last train.",I have riden by last train last night.,100,I have ridden by last train last night., 
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,"Please tell me, Will the fast train arrive at Shizuoka from Tokyo 9am?",100,"Please tell me, Will the fast train arrive at Shizuoka from Tokyo at 9 am?", 
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,Please tell me if the Shinkansen leaving at 9 a.m. stops at Shizuoka.,111,Please tell me if the Shinkansen leaving at 9 a.m. stops at Shizuoka., 
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,I would like to know if the high speed train departing at 9am stop by Shizuoka.,111,I would like to know if the high-speed train departing at 9 am stop by Shizuoka., 
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,Could you tell me if the Shinkansen departing at 9am will stop in Shizuoka.,11,Could you tell me if the Shinkansen departing at 9 am will stop in Shizuoka?, 
9,午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,Could you please teach me whether Shinkansen departing at 9 AM stop Shizuoka or not ?,111,Could you please teach me whether Shinkansen departing at 9 AM stop Shizuoka or not?, 
10,新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,Bride and groom go honeymoon by express at 5:30.,111,Bride and groom go honeymoon by express at 5:30., 
10,新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and har hasband take the 5:30 express train for their haneymoon.,110,The bride and her husband take the 5:30 express train for their honeymoon., 
10,新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bloom and bride will be going to their honeymoon on the express train five thirty ,11,The bloom and bride will be going on their honeymoon on the express train five thirty , 
10,新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom will go on their honeymoon on the express train at 5:30.,111,The bride and groom will go on their honeymoon on the express train at 5:30., 
10,新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,New merring men and women are leaving travel of marring by special train half to 5 o'clock.,110,New merring men and women are leaving travel of marring by special train half to 5 o'clock., 
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.", We have been living at hotel until finding some apart anyday.,0, We have been living at the hotel until finding some apart any day., 
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.","We are living in a hotel for long time, but will find an apartment after a while.",1,We are living in a hotel for a long time but will find an apartment after a while., 
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.","We've been staying hotel for the time being, however we are planning to find a room for rent in the near future.",11,"We've been staying hotel, for the time being, however, we are planning to find a room for rent in the near future.", 
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.","We live in a hotel for a while, we would find an apartment.",101,"We live in a hotel for a while, we would find an apartment.", 
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",We will find a manshon ,0,We will find a mansion , 
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.","I will diside absent scool and stay home, it will be recove from cold couple of days.",0,"I will decide absent from school and stay home, it will be removed from the cold couple of days.", 
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.","If he stays home from school, he will get over his cold in a few days.",111,"If he stays home from school, he will get over his cold in a few days.", 
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.",He must recover from sick in a few days if he absents from school and stay in his house,10,He must recover from sickness in a few days if he is absent from school and stays in his house, 
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.",If he will be absent from school to stay home. his cold is must be cured.,1,If he will be absent from school to stay home. his cold must be cured., 
