出題文,学習者,英語答え,翻訳,ラベル
僕は朝食前に必ず30分ほど散歩することにしている。,I usually taking walk for about 30 min. before breakfast.,I always go for a walk for about half an hour before breakfast.,I always take a 30-minute walk before breakfast.,0
僕は朝食前に必ず30分ほど散歩することにしている。,I make it a rule to take a walk for half an hour before every breakfast.,I always go for a walk for about half an hour before breakfast.,I always take a 30-minute walk before breakfast.,0
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I`m thinking about to gone office, no decision yet.","I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I am considering leaving the company.",0
まだ決めたわけではありませんが、会社を辞める事を考えています。,I don't decide yet I am thinking of quitting the company. ,"I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I am considering leaving the company.",0
この地に来たのはある調査をするためで、休日を過ごすためではない。,"No staying holiday, to study coming here.","I’ve come here to make a survey, not to spend my vacation.","I came here to do some research, not to spend a holiday.",1
この地に来たのはある調査をするためで、休日を過ごすためではない。,"I don't spend the holidays, I came here to do some research.","I’ve come here to make a survey, not to spend my vacation.","I came here to do some research, not to spend a holiday.",1
この地に来たのはある調査をするためで、休日を過ごすためではない。,"I came here not to live a holiday, the way to a search.","I’ve come here to make a survey, not to spend my vacation.","I came here to do some research, not to spend a holiday.",1
今朝からずっと待っているのに、彼はまだ現れない。,"I have been waiting for him this morning, He doesn`t come.","I’ve been waiting since this morning, but he still hasn’t come.",I've been waiting for him since this morning and he still hasn't shown up.,1
今朝からずっと待っているのに、彼はまだ現れない。,"I have been waiting since this morning, he has not turned up yet.","I’ve been waiting since this morning, but he still hasn’t come.",I've been waiting for him since this morning and he still hasn't shown up.,1
今朝からずっと待っているのに、彼はまだ現れない。,"Although I waithim morning, he does not appear yet ","I’ve been waiting since this morning, but he still hasn’t come.",I've been waiting for him since this morning and he still hasn't shown up.,1
カナダでの生活は、案外お金がかからなかった。,I didn't spend money that I thought,Living in Canada was not as expensive as I thought it would be.,Life in Canada was not as expensive as one might think.,0
カナダでの生活は、案外お金がかからなかった。,I did not consume the money for Canadian life rather than I predicted before.,Living in Canada was not as expensive as I thought it would be.,Life in Canada was not as expensive as one might think.,1
カナダでの生活は、案外お金がかからなかった。,Living in Canada does not cost more money than I think.,Living in Canada was not as expensive as I thought it would be.,Life in Canada was not as expensive as one might think.,1
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,The plane has gone when we arrived at the airport.,"When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",1
昨夜、急げば終電に間に合っていただろう。,"If I was hurred up, I made to ride on the last train last night.","If I had hurried last night, I could have caught the last train.","If I had hurried last night, I would have caught the last train.",1
昨夜、急げば終電に間に合っていただろう。,I would be on time last night if I go hurriedly.,"If I had hurried last night, I could have caught the last train.","If I had hurried last night, I would have caught the last train.",1
昨夜、急げば終電に間に合っていただろう。,"Last night, if I harried up, I was able to take the train.","If I had hurried last night, I could have caught the last train.","If I had hurried last night, I would have caught the last train.",1
昨夜、急げば終電に間に合っていただろう。,I have ridden by last train last night.,"If I had hurried last night, I could have caught the last train.","If I had hurried last night, I would have caught the last train.",1
午前9時発の新幹線は静岡に停車するかどうか教えてください。,"Please tell me, Will the fast train arrive at Shizuoka from Tokyo at 9 am?",Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,Please let me know if the 9:00 a.m. Shinkansen will stop at Shizuoka.,1
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。, We have been living at the hotel until finding some apart any day.,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",We are living in a hotel for the time being but will eventually find an apartment.,1
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,We are living in a hotel for a long time but will find an apartment after a while.,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",We are living in a hotel for the time being but will eventually find an apartment.,1
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We live in a hotel for a while, we would find an apartment.","We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",We are living in a hotel for the time being but will eventually find an apartment.,1
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,We will find a mansion ,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",We are living in a hotel for the time being but will eventually find an apartment.,1
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"I will decide absent from school and stay home, it will be removed from the cold couple of days.","If he stays home from school for a few days, he will get over his cold.","If he stays home from school, he is bound to get over his cold within a few days.",0
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,If he will be absent from school to stay home. his cold must be cured.,"If he stays home from school for a few days, he will get over his cold.","If he stays home from school, he is bound to get over his cold within a few days.",1
日本を訪れる外国人観光客は年々増えている。,It is a yearly incline that other country tourists visit Japan.,Every year more and more foreign tourists are visiting Japan.,The number of foreign tourists visiting Japan is increasing every year.,1
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"These days, many people do most of their business with their cell phones.",Nowadays many people get almost everything done by using their cellphones.,"These days, many people use their cell phones to run most of their errands.",1
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"These days, a lot of people do everything with cell phones.",Nowadays many people get almost everything done by using their cellphones.,"These days, many people do most of their errands on their cell phones.",1
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"These days, most things can be done by mobile phones.",Nowadays many people get almost everything done by using their cellphones.,"These days, many people do most of their errands on their cell phones.",1
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"Recently, many people do most of their work by using their cellphone.",Nowadays many people get almost everything done by using their cellphones.,"These days, many people do most of their errands on their cell phones.",1
この二か月で内閣支持率を急上昇した。,The number of people who agree with the minister increased in these two months.,The approval rating for the Cabinet has been rising sharply for the last two months.,"In the past two months, the Cabinet's approval rating has skyrocketed.",0
この二か月で内閣支持率を急上昇した。,"In the last two months, the rate of support for the government increased rapidly.",The approval rating for the Cabinet has been rising sharply for the last two months.,"In the past two months, the Cabinet's approval rating has skyrocketed.",0
この二か月で内閣支持率を急上昇した。,The supportive rate for the government has surged in these two months.,The approval rating for the Cabinet has been rising sharply for the last two months.,"In the past two months, the Cabinet's approval rating has skyrocketed.",0
この二か月で内閣支持率を急上昇した。,The rating of is increased rapidly in these two months.,The approval rating for the Cabinet has been rising sharply for the last two months.,"In the past two months, the Cabinet's approval rating has skyrocketed.",0
朝起きたら最初に何をしますか。,What to do first in the morning.,What is the first thing you do after you get up?,What is the first thing you do when you wake up in the morning?,1
大臣は前言の撤回をせざるをえなかった。,The minister had to withdraw his comment.,The minister had to admit that what he said was wrong.,The minister had to retract his previous statement.,0
大臣は前言の撤回をせざるをえなかった。,The minister was forced to cancel the previous opinion.,The minister had to admit that what he said was wrong.,The minister had to retract his previous statement.,1
