ID,出題文,学習者訳,正解文,翻訳文,label,誤り単語,補足
1,彼女は地元で最も名声のある大学の一つに入学しました。,She enrolled at one of the most famous universities in her local area. ,She enrolled in one of the most prestigious colleges in her town.,She was admitted to one of the most prestigious universities in the area.,2,,
1,彼女は地元で最も名声のある大学の一つに入学しました。,She entered on of the most famous university in her hometown,She enrolled in one of the most prestigious colleges in her town.,She was admitted to one of the most prestigious universities in the area.,2,,
1,彼女は地元で最も名声のある大学の一つに入学しました。,She entered one of the most famous university in country side.,She enrolled in one of the most prestigious colleges in her town.,She was admitted to one of the most prestigious universities in the area.,0,地元,
1,彼女は地元で最も名声のある大学の一つに入学しました。,She entered the famous university in her town.,She enrolled in one of the most prestigious colleges in her town.,She was admitted to one of the most prestigious universities in the area.,0,一つ、最も,
1,彼女は地元で最も名声のある大学の一つに入学しました。,She entered one of the most famous universities in her hometown. ,She enrolled in one of the most prestigious colleges in her town.,She was admitted to one of the most prestigious universities in the area.,2,,
2,私はそのクラブに所属しています。,I belong to the club.,I belong to the club.,I belong to that club.,2,,
2,私はそのクラブに所属しています。,I belong the club.,I belong to the club.,I belong to that club.,2,,
2,私はそのクラブに所属しています。,She belonged to the club.,I belong to the club.,I belong to that club.,0,私は,
2,私はそのクラブに所属しています。,I belong to the club.,I belong to the club.,I belong to that club.,2,,
2,私はそのクラブに所属しています。,I belong to the club.,I belong to the club.,I belong to that club.,2,,
3,その国は経済の低迷で苦しむでしょう。,The country will undergo the economical downturn.,The country will suffer from an economic downturn.,That country will suffer from a sluggish economy.,2,苦しむ,
3,その国は経済の低迷で苦しむでしょう。,The country will suffer from the economical recession.,The country will suffer from an economic downturn.,That country will suffer from a sluggish economy.,2,,
3,その国は経済の低迷で苦しむでしょう。,The country will have trouble with dwilling economy.,The country will suffer from an economic downturn.,That country will suffer from a sluggish economy.,0,低迷、苦しむ,
3,その国は経済の低迷で苦しむでしょう。,That country will be helped by poor economy.,The country will suffer from an economic downturn.,That country will suffer from a sluggish economy.,0,苦しむ、低迷,
3,その国は経済の低迷で苦しむでしょう。,The country would suffer from economic depression.,The country will suffer from an economic downturn.,That country will suffer from a sluggish economy.,2,,
4,他人の前で話をすることは多くのスキルを必要とします。,Speaking in front of other people needs a lot of skills.,Speaking in front of others requires a lot of skills.,Speaking in front of others requires many skills.,2,,
4,他人の前で話をすることは多くのスキルを必要とします。,We need a lot of skills to speak in public.,Speaking in front of others requires a lot of skills.,Speaking in front of others requires many skills.,0,他人,
4,他人の前で話をすることは多くのスキルを必要とします。,You are to be skillful in making a speech in front of people.,Speaking in front of others requires a lot of skills.,Speaking in front of others requires many skills.,0,他人、必要,
4,他人の前で話をすることは多くのスキルを必要とします。,I need a lot of skills to speak in front of others.,Speaking in front of others requires a lot of skills.,Speaking in front of others requires many skills.,2,,
4,他人の前で話をすることは多くのスキルを必要とします。,It needs a lot of skills for speaking on many people.,Speaking in front of others requires a lot of skills.,Speaking in front of others requires many skills.,0,他人,
5,多くの親は、よりよい学校教育を受けるために海外に子供たちを留学させます。,Lots of parents have their children study abroad so they benefit from better education.,Many parents sent their children overseas for better schoolong.,Many parents send their children abroad for better schooling.,2,受ける,
5,多くの親は、よりよい学校教育を受けるために海外に子供たちを留学させます。,Many pararents let their children go abroad for better school education.,Many parents sent their children overseas for better schoolong.,Many parents send their children abroad for better schooling.,0,,
5,多くの親は、よりよい学校教育を受けるために海外に子供たちを留学させます。,Many parents makes their children go to study abroad because they can take a good education there.,Many parents sent their children overseas for better schoolong.,Many parents send their children abroad for better schooling.,2,,
5,多くの親は、よりよい学校教育を受けるために海外に子供たちを留学させます。,Many parents send their children abroad so that they can get better education.,Many parents sent their children overseas for better schoolong.,Many parents send their children abroad for better schooling.,2,,
5,多くの親は、よりよい学校教育を受けるために海外に子供たちを留学させます。,Many parents make their children study abroad for better education.,Many parents sent their children overseas for better schoolong.,Many parents send their children abroad for better schooling.,2,,
6,政府は来春、選挙を実施する予定です。,"Next spring,government will do election.",The government will be holding an election next spring.,The government plans to hold elections next spring.,2,,
6,政府は来春、選挙を実施する予定です。,The government is planning the vote next spring.,The government will be holding an election next spring.,The government plans to hold elections next spring.,2,選挙,
6,政府は来春、選挙を実施する予定です。,The government plans the vote next spring.,The government will be holding an election next spring.,The government plans to hold elections next spring.,2,選挙,
6,政府は来春、選挙を実施する予定です。,The government is going to held election next spring.,The government will be holding an election next spring.,The government plans to hold elections next spring.,2,,
6,政府は来春、選挙を実施する予定です。,The government plans to do a election next spring.,The government will be holding an election next spring.,The government plans to hold elections next spring.,2,,
7,野菜や果物は健康によいので、人々はこれらの食べ物をもっと食べるべきです。,You ought to eat more vegetables and fruits since they are good for your health.,People should eat more fruit and vegetables because these foods are healty.,Vegetables and fruits are healthy and people should eat more of these foods.,2,,
7,野菜や果物は健康によいので、人々はこれらの食べ物をもっと食べるべきです。,"Vegetables and fruits are good for health, so people should eat them more than before.",People should eat more fruit and vegetables because these foods are healty.,Vegetables and fruits are healthy and people should eat more of these foods.,2,,もっと？
7,野菜や果物は健康によいので、人々はこれらの食べ物をもっと食べるべきです。,"Vegetables and fruits are good for our health,so people should eat these more.",People should eat more fruit and vegetables because these foods are healty.,Vegetables and fruits are healthy and people should eat more of these foods.,2,,
7,野菜や果物は健康によいので、人々はこれらの食べ物をもっと食べるべきです。,People should eat more vegetables and fruits because they are good for their health.,People should eat more fruit and vegetables because these foods are healty.,Vegetables and fruits are healthy and people should eat more of these foods.,2,,
7,野菜や果物は健康によいので、人々はこれらの食べ物をもっと食べるべきです。,Everyone must eat vegetables and fruits because of health.,People should eat more fruit and vegetables because these foods are healty.,Vegetables and fruits are healthy and people should eat more of these foods.,0,もっと,
8,今日は雨だったので、ジムには行きませんでした。,"Today was rain,so I did't go the gym.","Since it wa rainy today,I did not go to the gym.","It was raining today, so I did not go to the gym.",2,,
8,今日は雨だったので、ジムには行きませんでした。,I didn't go to the gym because of rain today.,"Since it wa rainy today,I did not go to the gym.","It was raining today, so I did not go to the gym.",2,,
8,今日は雨だったので、ジムには行きませんでした。,I didn't go to the gym because it was rainy today.,"Since it wa rainy today,I did not go to the gym.","It was raining today, so I did not go to the gym.",2,,
8,今日は雨だったので、ジムには行きませんでした。,It was raining so I didn't go to the gym today.,"Since it wa rainy today,I did not go to the gym.","It was raining today, so I did not go to the gym.",2,,
8,今日は雨だったので、ジムには行きませんでした。,I did not go to the gym because it was raining today.,"Since it wa rainy today,I did not go to the gym.","It was raining today, so I did not go to the gym.",2,,
