出題文,学習者,英語答え,翻訳,cos類似度,学習者訳長さ,正解文長さ
僕は朝食前に必ず30分ほど散歩することにしている。,I make it a rule to take a walk for about half an hour before breakfast.,I always go for a walk for about half an hour before breakfast.,I always take a 30-minute walk before breakfast.,0.8290862441062927,16,8
僕は朝食前に必ず30分ほど散歩することにしている。,I always take a walk for 30 minutes before breakfast.,I always go for a walk for about half an hour before breakfast.,I always take a 30-minute walk before breakfast.,0.9739025831222534,10,8
僕は朝食前に必ず30分ほど散歩することにしている。,I am always going to take a walk 30minutes before breakfast.,I always go for a walk for about half an hour before breakfast.,I always take a 30-minute walk before breakfast.,0.8912656307220459,11,8
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I haven'ts decided yet, but I'm thinking of quitting the company.","I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I am considering leaving the company.",0.7724506855010986,11,11
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I haven't decided yet, but I am thinking to quit my job.","I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I am considering leaving the company.",0.6873255968093872,12,11
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not yet decided, but I would like to leave the company.","I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I am considering leaving the company.",0.8740212917327881,13,11
この地に来たのはある調査をするためで、休日を過ごすためではない。,"I came here to do some research, not to spend a holiday.","I’ve come here to make a survey, not to spend my vacation.","I came here to do some research, not to spend a holiday.",1.0000001192092896,12,12
この地に来たのはある調査をするためで、休日を過ごすためではない。,"I came here to do some research, not to spend my holidays.","I’ve come here to make a survey, not to spend my vacation.","I came here to do some research, not to spend a holiday.",0.9260116815567017,12,12
今朝からずっと待っているのに、彼はまだ現れない。,"I have been waiting since this morning, but he has not shown up yet.","I’ve been waiting since this morning, but he still hasn’t come.",I've been waiting for him since this morning and he still hasn't shown up.,0.9050425291061401,14,14
今朝からずっと待っているのに、彼はまだ現れない。,He has not appeared still even though I have waited from this morning.,"I’ve been waiting since this morning, but he still hasn’t come.",I've been waiting for him since this morning and he still hasn't shown up.,0.7467716932296753,13,14
カナダでの生活は、案外お金がかからなかった。,Life in Canada was not as expensive as I thought.,Living in Canada was not as expensive as I thought it would be.,Life in Canada was not as expensive as one might think.,0.9429205656051636,10,11
カナダでの生活は、案外お金がかからなかった。,Living in Canada didn't cost much than I had expected.,Living in Canada was not as expensive as I thought it would be.,Life in Canada was not as expensive as one might think.,0.739595890045166,10,11
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we arrived at the airport, the plane had already taken off.","When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",1.0000001192092896,12,12
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we arrived at the airport, the airplane have already taken off.","When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",0.9802533984184265,12,12
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When I arrived at the airport, the flight had already taken off. ","When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",0.9205062985420227,12,12
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,The airplane have already departed when we arrived at the airport.,"When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",0.8928526043891907,11,12
お金があれば、もう一泊するのだが。,"If I had money, I would stay one more night.","If I had more money, I could stay one more night.","If I had the money, I would stay one more night.",0.9952432513237,10,11
お金があれば、もう一泊するのだが。,"If I have money, I stay one more night.","If I had more money, I could stay one more night.","If I had the money, I would stay one more night.",0.9322544932365417,9,11
お金があれば、もう一泊するのだが。,"If I have money, I would stay one more night.","If I had more money, I could stay one more night.","If I had the money, I would stay one more night.",0.9744642376899719,10,11
お金があれば、もう一泊するのだが。,If I have money I will stay one more night.,"If I had more money, I could stay one more night.","If I had the money, I would stay one more night.",0.9187106490135193,10,11
お金があれば、もう一泊するのだが。,I would like to stay one more night if I have money.,"If I had more money, I could stay one more night.","If I had the money, I would stay one more night.",0.9356376528739929,12,11
昨夜、急げば終電に間に合っていただろう。,"Last night, if I had been in a rush, I could have caught the last train","If I had hurried last night, I could have caught the last train.","If I had hurried last night, I would have caught the last train.",0.9196087121963501,16,13
午前9時発の新幹線は静岡に停車するかどうか教えてください。,Please tell me if the Shinkansen leaving at 9 a.m. stops at Shizuoka.,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,"If I had hurried last night, I would have caught the last train.",0.24354858696460724,13,13
午前9時発の新幹線は静岡に停車するかどうか教えてください。,I would like to know if the high-speed train departing at 9 am stop by Shizuoka.,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,"If I had hurried last night, I would have caught the last train.",0.5109851956367493,16,13
午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me if the Shinkansen departing at 9 am will stop in Shizuoka?,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,"If I had hurried last night, I would have caught the last train.",0.31907737255096436,15,13
午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you please teach me whether Shinkansen departing at 9 AM stop Shizuoka or not?,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,"If I had hurried last night, I would have caught the last train.",0.2155296951532364,15,13
新郎新婦は、五時半の特急で新婚旅行に出かけます。,Bride and groom go honeymoon by express at 5:30.,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom take the 5:30 express for their honeymoon.,0.9330787658691406,9,11
新郎新婦は、五時半の特急で新婚旅行に出かけます。,The bride and her husband take the 5:30 express train for their honeymoon.,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom take the 5:30 express for their honeymoon.,0.8443633913993835,13,11
新郎新婦は、五時半の特急で新婚旅行に出かけます。,The bloom and bride will be going on their honeymoon on the express train five thirty ,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom take the 5:30 express for their honeymoon.,0.757328450679779,16,11
新郎新婦は、五時半の特急で新婚旅行に出かけます。,The bride and groom will go on their honeymoon on the express train at 5:30.,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom take the 5:30 express for their honeymoon.,0.8459731340408325,15,11
新郎新婦は、五時半の特急で新婚旅行に出かけます。,New merring men and women are leaving travel of marring by special train half to 5 o'clock.,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom take the 5:30 express for their honeymoon.,0.26666921377182007,17,11
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We've been staying hotel, for the time being, however, we are planning to find a room for rent in the near future.","We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",We are living in a hotel for the time being but will eventually find an apartment.,0.8303842544555664,22,16
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school, he will get over his cold in a few days.","If he stays home from school for a few days, he will get over his cold.","If he stays home from school, he is bound to get over his cold within a few days.",0.972256600856781,16,18
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,He must recover from sickness in a few days if he is absent from school and stays in his house,"If he stays home from school for a few days, he will get over his cold.","If he stays home from school, he is bound to get over his cold within a few days.",0.6372847557067871,20,18
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he is absent from school and stays home, he must be able to get over his cold within a few days.","If he stays home from school for a few days, he will get over his cold.","If he stays home from school, he is bound to get over his cold within a few days.",0.924356997013092,22,18
日本を訪れる外国人観光客は年々増えている。,Foreign tourists visiting Japan increase year by year.,Every year more and more foreign tourists are visiting Japan.,The number of foreign tourists visiting Japan is increasing every year.,0.9207705855369568,8,11
日本を訪れる外国人観光客は年々増えている。,The number of foreigners visiting Japan is increasing year by year.,Every year more and more foreign tourists are visiting Japan.,The number of foreign tourists visiting Japan is increasing every year.,0.8998943567276001,11,11
日本を訪れる外国人観光客は年々増えている。,The number of foreign tourists who visit Japan is increasing.,Every year more and more foreign tourists are visiting Japan.,The number of foreign tourists visiting Japan is increasing every year.,0.9456703066825867,10,11
日本を訪れる外国人観光客は年々増えている。,The number of visitors from foreign countries to Japan is increasing year by year.,Every year more and more foreign tourists are visiting Japan.,The number of foreign tourists visiting Japan is increasing every year.,0.9035688042640686,14,11
私はおととしの夏、江ノ島に海水浴に行った。,"I went to Enoshima for the swimming the summer before last,",I went swimming in Enoshima the summer before last.,I went swimming in Enoshima the summer before last.,0.9672930836677551,11,9
私はおととしの夏、江ノ島に海水浴に行った。,I went to Enoshima for sea bathing in summer two years ago.,I went swimming in Enoshima the summer before last.,I went swimming in Enoshima the summer before last.,0.8626077771186829,12,9
私はおととしの夏、江ノ島に海水浴に行った。,I went to Enoshima to swim in the summer before last year.,I went swimming in Enoshima the summer before last.,I went swimming in Enoshima the summer before last.,0.959333062171936,12,9
私はおととしの夏、江ノ島に海水浴に行った。,"In the summer two years ago, I went bathing at Enoshima beach.",I went swimming in Enoshima the summer before last.,I went swimming in Enoshima the summer before last.,0.7994397282600403,12,9
私はおととしの夏、江ノ島に海水浴に行った。,I went swimming at Enoshima the summer before last year.,I went swimming in Enoshima the summer before last.,I went swimming in Enoshima the summer before last.,0.9796566367149353,10,9
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"These days, many people use their mobile phones to do most work they have to do.",Nowadays many people get almost everything done by using their cellphones.,"These days, many people use their cell phones to run most of their errands.",0.7481102347373962,16,14
この二か月で内閣支持率を急上昇した。,The Cabinet's approval rating has soared over the past two months.,The approval rating for the Cabinet has been rising sharply for the last two months.,"In the past two months, the Cabinet's approval rating has skyrocketed.",0.8027299046516418,11,11
朝起きたら最初に何をしますか。,"What do you do first, when you wake up in the morning?",What is the first thing you do after you get up?,What is the first thing you do when you wake up in the morning?,0.9800309538841248,12,14
朝起きたら最初に何をしますか。,What do you do first when you get up.,What is the first thing you do after you get up?,What is the first thing you do when you wake up in the morning?,0.6385897397994995,9,14
朝起きたら最初に何をしますか。,What do you do first when you wake up in the morning?,What is the first thing you do after you get up?,What is the first thing you do when you wake up in the morning?,0.9806941151618958,12,14
朝起きたら最初に何をしますか。,What do you do first when you wake up in the morning?,What is the first thing you do after you get up?,What is the first thing you do when you wake up in the morning?,0.9806941151618958,12,14
それは秘密にしておいた方が良い,It is better that is secret.,You should leave it unsaid.,Better to keep that a secret.,0.8239569067955017,6,6
それは秘密にしておいた方が良い,You had better keep it a secret.,You should leave it unsaid.,Better to keep that a secret.,0.8457920551300049,7,6
それは秘密にしておいた方が良い,You had better keep it a secret.,You should leave it unsaid.,Better to keep that a secret.,0.8457920551300049,7,6
それは秘密にしておいた方が良い,It's better to keep it a secret.,You should leave it unsaid.,Better to keep that a secret.,0.9117202162742615,7,6
それは秘密にしておいた方が良い,It is better for you to keep it secret.,You should leave it unsaid.,Better to keep that a secret.,0.869989275932312,9,6
大臣は前言の撤回をせざるをえなかった。,The minister had no choice but to take back what he had said.,The minister had to admit that what he said was wrong.,The minister had to retract his previous statement.,0.49809691309928894,13,8
大臣は前言の撤回をせざるをえなかった。,The minister had no way except to take back what he said.,The minister had to admit that what he said was wrong.,The minister had to retract his previous statement.,0.5342009663581848,12,8
大臣は前言の撤回をせざるをえなかった。,The minister had to admit what he said was wrong.,The minister had to admit that what he said was wrong.,The minister had to retract his previous statement.,0.4491639733314514,10,8
彼女を失ってはじめて、お金では買えないものがあることを知った。,"After I lost her, I realized that there was something money couldn't buy for the first time.",I had thought I could buy anything with money until I lost her.,Only after losing her did I realize that there are some things money can't buy.,0.8178092837333679,17,15
彼女を失ってはじめて、お金では買えないものがあることを知った。,"Only when I had lost her, did I know that there are things that I can't buy with money.",I had thought I could buy anything with money until I lost her.,Only after losing her did I realize that there are some things money can't buy.,0.8924822211265564,19,15
円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the increase in yen's value, we can travel abroad at a lower price.","Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the strong yen, it is now possible to travel abroad at a lower cost these days.",0.8591423034667969,15,18
円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, you can enjoy traveling abroad at low prices recently.","Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the strong yen, it is now possible to travel abroad at a lower cost these days.",0.8591935038566589,14,18
円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, it has become possible to travel abroad cheaply these days.","Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the strong yen, it is now possible to travel abroad at a lower cost these days.",0.8991333246231079,15,18
この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand to bring this box?,Could you give me a hand with this box?,Could you please lend me a hand to carry this box?,0.8422275185585022,10,11
その店で買い物をしていたら、旧友のジムに会いました。,"When I was shopping, I met an old friend, Jim.","I was shopping I ran into Jim, an old friend of mine.","While shopping at that store, I met an old friend, Jim.",0.8926403522491455,10,11
その店で買い物をしていたら、旧友のジムに会いました。,"While I went shopping at that store, I met an old friend, Jim.","I was shopping I ran into Jim, an old friend of mine.","While shopping at that store, I met an old friend, Jim.",0.968034029006958,13,11
その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping at that store, I met old friend Jim. ","I was shopping I ran into Jim, an old friend of mine.","While shopping at that store, I met an old friend, Jim.",0.9472132921218872,11,11
その店で買い物をしていたら、旧友のジムに会いました。,"When I was shopping in this store, I met Jim of an old friend.","I was shopping I ran into Jim, an old friend of mine.","While shopping at that store, I met an old friend, Jim.",0.94339919090271,14,11
火災が発生してから30分後に消防隊が到着した。,Firefighters arrived 30 minutes after the fire accident broke out.,The fire brigade arrived 30 minutes after the fire broke out.,Firefighters arrived 30 minutes after the fire broke out.,0.947770357131958,10,9
火災が発生してから30分後に消防隊が到着した。,Firemen reached 30 minutes after the fire happened.,The fire brigade arrived 30 minutes after the fire broke out.,Firefighters arrived 30 minutes after the fire broke out.,0.8390911817550659,8,9
ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr.White worked hard to feed his four families.,Mr. White worked hard to support a family of four.,Mr. White worked hard to support his family of four.,0.8502229452133179,8,10
ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard in order to take care of his family of 4.,Mr. White worked hard to support a family of four.,Mr. White worked hard to support his family of four.,0.8606522083282471,14,10
ホワイト氏は、四人家族を養うために一生懸命働いた。,"Mr, White worked hard to feed his family of 4. ",Mr. White worked hard to support a family of four.,Mr. White worked hard to support his family of four.,0.8160606622695923,10,10
ホワイト氏は、四人家族を養うために一生懸命働いた。,White-san worked hard to support his family of four.,Mr. White worked hard to support a family of four.,Mr. White worked hard to support his family of four.,0.8638712167739868,9,10
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I walked softly so that the baby wouldn't wake up.,I crept around so as not to wake up the baby.,I walked softly so the baby would not wake up.,0.9512963891029358,10,10
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I walked slowly not to wake up baby.,I crept around so as not to wake up the baby.,I walked softly so the baby would not wake up.,0.8761298656463623,8,10
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I walked slowly to not wake to the baby up.,I crept around so as not to wake up the baby.,I walked softly so the baby would not wake up.,0.8723819255828857,10,10
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I walked quietly not to wake the baby.,I crept around so as not to wake up the baby.,I walked softly so the baby would not wake up.,0.8652564883232117,8,10
赤ちゃんが目を覚まさないように、私はそっと歩いた。,I walked quietly so that the baby wouldn't wake up.,I crept around so as not to wake up the baby.,I walked softly so the baby would not wake up.,0.9092191457748413,10,10
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,This song makes me remember to precious memory when we had stayed in N.Y.,"When I hear this song, I’m always reminded of the days when we lived in New York.",This song always reminds me of our days in New York.,0.5666255950927734,14,11
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,This song always reminds me of the day we spend in New York.,"When I hear this song, I’m always reminded of the days when we lived in New York.",This song always reminds me of our days in New York.,0.9454938769340515,13,11
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"Whenever I hear this song, which reminds me of the days we spend in New York.","When I hear this song, I’m always reminded of the days when we lived in New York.",This song always reminds me of our days in New York.,0.8953679800033569,16,11
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"Whenever I hear this song, I remember the days I spent in New York.","When I hear this song, I’m always reminded of the days when we lived in New York.",This song always reminds me of our days in New York.,0.8157565593719482,14,11
自分の故郷に少しも愛情を感じない人はめったにいません。,There is rarely anyone who doesn't have even a little love towards their own hometown.,Most people love their hometown.,Rarely does one feel the least bit of love for one's hometown.,0.8043645024299622,15,12
自分の故郷に少しも愛情を感じない人はめったにいません。,Few people feel no affection for their hometown.,Most people love their hometown.,Rarely does one feel the least bit of love for one's hometown.,0.6128126382827759,8,12
