出題文,学習者,英語答え,翻訳,ラベル
僕は朝食前に必ず30分ほど散歩することにしている。,I make it a rule to take a walk for about half an hour before breakfast.,I always go for a walk for about half an hour before breakfast.,I always take a 30-minute walk before breakfast.,0
僕は朝食前に必ず30分ほど散歩することにしている。,I always take a walk for 30 minutes before breakfast.,I always go for a walk for about half an hour before breakfast.,I always take a 30-minute walk before breakfast.,1
僕は朝食前に必ず30分ほど散歩することにしている。,I am always going to take a walk 30minutes before breakfast.,I always go for a walk for about half an hour before breakfast.,I always take a 30-minute walk before breakfast.,1
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I haven'ts decided yet, but I'm thinking of quitting the company.","I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I am considering leaving the company.",1
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I haven't decided yet, but I am thinking to quit my job.","I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I am considering leaving the company.",0
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I have not yet decided, but I would like to leave the company.","I have not made up my mind yet, but I’m thinking of leaving the company.","I haven't decided yet, but I am considering leaving the company.",1
この地に来たのはある調査をするためで、休日を過ごすためではない。,"I came here to do some research, not to spend a holiday.","I’ve come here to make a survey, not to spend my vacation.","I came here to do some research, not to spend a holiday.",1
この地に来たのはある調査をするためで、休日を過ごすためではない。,"I came here to do some research, not to spend my holidays.","I’ve come here to make a survey, not to spend my vacation.","I came here to do some research, not to spend a holiday.",1
今朝からずっと待っているのに、彼はまだ現れない。,"I have been waiting since this morning, but he has not shown up yet.","I’ve been waiting since this morning, but he still hasn’t come.",I've been waiting for him since this morning and he still hasn't shown up.,1
今朝からずっと待っているのに、彼はまだ現れない。,He has not appeared still even though I have waited from this morning.,"I’ve been waiting since this morning, but he still hasn’t come.",I've been waiting for him since this morning and he still hasn't shown up.,1
カナダでの生活は、案外お金がかからなかった。,Life in Canada was not as expensive as I thought.,Living in Canada was not as expensive as I thought it would be.,Life in Canada was not as expensive as one might think.,1
カナダでの生活は、案外お金がかからなかった。,Living in Canada didn't cost much than I had expected.,Living in Canada was not as expensive as I thought it would be.,Life in Canada was not as expensive as one might think.,0
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we arrived at the airport, the plane had already taken off.","When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",1
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we arrived at the airport, the airplane have already taken off.","When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",1
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When I arrived at the airport, the flight had already taken off. ","When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",1
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,The airplane have already departed when we arrived at the airport.,"When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",1
お金があれば、もう一泊するのだが。,"If I had money, I would stay one more night.","If I had more money, I could stay one more night.","If I had the money, I would stay one more night.",1
お金があれば、もう一泊するのだが。,"If I have money, I stay one more night.","If I had more money, I could stay one more night.","If I had the money, I would stay one more night.",1
お金があれば、もう一泊するのだが。,"If I have money, I would stay one more night.","If I had more money, I could stay one more night.","If I had the money, I would stay one more night.",1
お金があれば、もう一泊するのだが。,If I have money I will stay one more night.,"If I had more money, I could stay one more night.","If I had the money, I would stay one more night.",1
お金があれば、もう一泊するのだが。,I would like to stay one more night if I have money.,"If I had more money, I could stay one more night.","If I had the money, I would stay one more night.",1
昨夜、急げば終電に間に合っていただろう。,"Last night, if I had been in a rush, I could have caught the last train","If I had hurried last night, I could have caught the last train.","If I had hurried last night, I would have caught the last train.",0
午前9時発の新幹線は静岡に停車するかどうか教えてください。,Please tell me if the Shinkansen leaving at 9 a.m. stops at Shizuoka.,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,"If I had hurried last night, I would have caught the last train.",0
午前9時発の新幹線は静岡に停車するかどうか教えてください。,I would like to know if the high-speed train departing at 9 am stop by Shizuoka.,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,"If I had hurried last night, I would have caught the last train.",0
午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you tell me if the Shinkansen departing at 9 am will stop in Shizuoka?,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,"If I had hurried last night, I would have caught the last train.",0
午前9時発の新幹線は静岡に停車するかどうか教えてください。,Could you please teach me whether Shinkansen departing at 9 AM stop Shizuoka or not?,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,"If I had hurried last night, I would have caught the last train.",0
新郎新婦は、五時半の特急で新婚旅行に出かけます。,Bride and groom go honeymoon by express at 5:30.,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom take the 5:30 express for their honeymoon.,0
新郎新婦は、五時半の特急で新婚旅行に出かけます。,The bride and her husband take the 5:30 express train for their honeymoon.,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom take the 5:30 express for their honeymoon.,1
新郎新婦は、五時半の特急で新婚旅行に出かけます。,The bloom and bride will be going on their honeymoon on the express train five thirty ,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom take the 5:30 express for their honeymoon.,0
新郎新婦は、五時半の特急で新婚旅行に出かけます。,The bride and groom will go on their honeymoon on the express train at 5:30.,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom take the 5:30 express for their honeymoon.,0
新郎新婦は、五時半の特急で新婚旅行に出かけます。,New merring men and women are leaving travel of marring by special train half to 5 o'clock.,the bride and groom are leaving on their honeymoon on the 5:30 express.,The bride and groom take the 5:30 express for their honeymoon.,0
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We've been staying hotel, for the time being, however, we are planning to find a room for rent in the near future.","We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",We are living in a hotel for the time being but will eventually find an apartment.,0
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school, he will get over his cold in a few days.","If he stays home from school for a few days, he will get over his cold.","If he stays home from school, he is bound to get over his cold within a few days.",0
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,He must recover from sickness in a few days if he is absent from school and stays in his house,"If he stays home from school for a few days, he will get over his cold.","If he stays home from school, he is bound to get over his cold within a few days.",1
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he is absent from school and stays home, he must be able to get over his cold within a few days.","If he stays home from school for a few days, he will get over his cold.","If he stays home from school, he is bound to get over his cold within a few days.",1
日本を訪れる外国人観光客は年々増えている。,Foreign tourists visiting Japan increase year by year.,Every year more and more foreign tourists are visiting Japan.,The number of foreign tourists visiting Japan is increasing every year.,1
日本を訪れる外国人観光客は年々増えている。,The number of foreigners visiting Japan is increasing year by year.,Every year more and more foreign tourists are visiting Japan.,The number of foreign tourists visiting Japan is increasing every year.,1
